Name;Year;Rating;Rate;TotalRate;Link_Movie;Budget;Gross_Us;Opening_Week_Rev;Opening_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
Life Is Beautiful;1997;PG-13;8.6;746000;https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26;20000000;57563264;118920;25/10/1998 00:00;230099013;116;Color;None;1.85 : 1
The Green Mile;1999;R;8.6;1400000;https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27;60000000;136801374;18017152;12/12/1999 00:00;286801374;189;Color;None;1.85 : 1
Terminator Judgment Day;1991;R;8.6;1200000;https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28;102000000;205881154;31765506;07/07/1991 00:00;520881154;137;None;None;0
Star Wars: Episode IV - A New Hope;1977;PG;8.6;1500000;https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29;11000000;460998507;1554475;30/05/1977 00:00;775398507;121;None;None;0
Dune: Part Two;2024;PG-13;8.6;442000;https://www.imdb.com/title/tt15239678/?ref_=chttp_t_30;190000000;282144358;82505391;03/03/2024 00:00;711844358;166;None;None;0
Back to the Future;1985;PG;8.5;1300000;https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31;19000000;214077472;11152500;07/07/1985 00:00;384577472;116;None;None;0
Spirited Away;2001;PG;8.6;855000;https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32;19000000;15205725;449839;22/09/2002 00:00;357561772;125;Color;None;1.85 : 1
The Pianist;2002;R;8.5;918000;https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33;35000000;32590750;111261;29/12/2002 00:00;120098945;150;Color;None;1.85 : 1
Parasite;2019;R;8.5;969000;https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34;11400000;53369749;393216;13/10/2019 00:00;262099264;132;Color;None;2.39 : 1
Psycho;1960;R;8.5;722000;https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35;806947;32000000;0;01/01/1900 00:00;32061457;109;Black and White;None;1.37 : 1(original & negative ratio
Gladiator;2000;R;8.5;1600000;https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36;103000000;187705427;34819017;07/05/2000 00:00;465387186;155;Color;None;2.39 : 1
Spider-Man: Across the Spider-Verse;2023;PG;8.6;378000;https://www.imdb.com/title/tt9362722/?ref_=chttp_t_37;150000000;381593754;120663589;04/06/2023 00:00;690897910;140;None;None;0
The Lion King;1994;G;8.5;1100000;https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38;45000000;422783777;1586753;19/06/1994 00:00;968750709;88;None;None;0
